ПОСЛЕДОВАТЕЛЬНОСТЬ ТОКЕНОВ
Лексема | Тип | id в таблице | Строка | Позиция
--------+-----+--------------+--------+--------
# | OPERATOR | 1 | 1 | 1
include | KEYWORD | 1 | 1 | 2
< | OPERATOR | 2 | 1 | 10
stdio | IDENTIFIER | 1 | 1 | 11
. | DELIMITER | 1 | 1 | 16
h | IDENTIFIER | 2 | 1 | 17
> | OPERATOR | 3 | 1 | 18
# | OPERATOR | 1 | 2 | 1
include | KEYWORD | 1 | 2 | 2
< | OPERATOR | 2 | 2 | 10
stdbool | IDENTIFIER | 3 | 2 | 11
. | DELIMITER | 1 | 2 | 18
h | IDENTIFIER | 2 | 2 | 19
> | OPERATOR | 3 | 2 | 20
int | KEYWORD | 2 | 3 | 1
factorial | IDENTIFIER | 4 | 3 | 5
( | DELIMITER | 2 | 3 | 14
int | KEYWORD | 2 | 3 | 15
n | IDENTIFIER | 5 | 3 | 19
) | DELIMITER | 3 | 3 | 20
{ | DELIMITER | 4 | 3 | 22
int | KEYWORD | 2 | 4 | 1
result | IDENTIFIER | 6 | 4 | 5
= | OPERATOR | 4 | 4 | 12
1 | CONSTANT_INT | 1 | 4 | 14
; | DELIMITER | 5 | 4 | 15
for | KEYWORD | 3 | 5 | 1
( | DELIMITER | 2 | 5 | 5
int | KEYWORD | 2 | 5 | 6
i | IDENTIFIER | 7 | 5 | 10
= | OPERATOR | 4 | 5 | 12
1 | CONSTANT_INT | 1 | 5 | 14
; | DELIMITER | 5 | 5 | 15
i | IDENTIFIER | 7 | 5 | 17
<= | OPERATOR | 5 | 5 | 19
n | IDENTIFIER | 5 | 5 | 22
; | DELIMITER | 5 | 5 | 23
i | IDENTIFIER | 7 | 5 | 25
++ | OPERATOR | 6 | 5 | 26
) | DELIMITER | 3 | 5 | 28
{ | DELIMITER | 4 | 5 | 30
result | IDENTIFIER | 6 | 6 | 1
= | OPERATOR | 4 | 6 | 8
result | IDENTIFIER | 6 | 6 | 10
* | OPERATOR | 7 | 6 | 17
